"dates","ul"
"January 2010","15046"
"February 2010","15113"
"March 2010","15202"
"April 2010","15325"
"May 2010","14849"
"June 2010","14474"
"July 2010","14512"
"August 2010","14648"
"September 2010","14579"
"October 2010","14516"
"November 2010","15081"
"December 2010","14348"
"January 2011","14013"
"February 2011","13820"
"March 2011","13737"
"April 2011","13957"
"May 2011","13855"
"June 2011","13962"
"July 2011","13763"
"August 2011","13818"
"September 2011","13948"
"October 2011","13594"
"November 2011","13302"
"December 2011","13093"
"January 2012","12797"
"February 2012","12813"
"March 2012","12713"
"April 2012","12646"
"May 2012","12660"
"June 2012","12692"
"July 2012","12656"
"August 2012","12471"
"September 2012","12115"
"October 2012","12124"
"November 2012","12005"
"December 2012","12298"
"January 2013","12471"
"February 2013","11950"
"March 2013","11689"
"April 2013","11760"
"May 2013","11654"
"June 2013","11751"
"July 2013","11335"
"August 2013","11279"
"September 2013","11270"
"October 2013","11136"
"November 2013","10787"
"December 2013","10404"
"January 2014","10202"
"February 2014","10349"
"March 2014","10380"
"April 2014","9702"
"May 2014","9859"
"June 2014","9460"
"July 2014","9608"
"August 2014","9599"
"September 2014","9262"
"October 2014","8990"
"November 2014","9090"
"December 2014","8717"
"January 2015","8885"
"February 2015","8599"
"March 2015","8515"
"April 2015","8550"
"May 2015","8834"
"June 2015","8247"
"July 2015","8167"
"August 2015","7992"
"September 2015","7907"
"October 2015","7922"
"November 2015","8000"
"December 2015","7907"
"January 2016","7721"
"February 2016","7746"
"March 2016","7945"
"April 2016","7975"
"May 2016","7668"
"June 2016","7786"
"July 2016","7658"
"August 2016","7809"
"September 2016","7967"
"October 2016","7827"
"November 2016","7488"
"December 2016","7495"
"January 2017","7518"
"February 2017","7399"
"March 2017","7088"
"April 2017","7085"
"May 2017","7059"
"June 2017","6933"
"July 2017","6867"
"August 2017","7097"
"September 2017","6841"
"October 2017","6599"
"November 2017","6697"
"December 2017","6561"
"January 2018","6582"
"February 2018","6641"
"March 2018","6493"
"April 2018","6418"
"May 2018","6209"
"June 2018","6519"
"July 2018","6180"
"August 2018","6167"
"September 2018","6045"
"October 2018","6123"
"November 2018","6034"
"December 2018","6286"
"January 2019","6516"
"February 2019","6181"
"March 2019","6194"
"April 2019","5850"
"May 2019","5938"
"June 2019","5985"
"July 2019","6027"
"August 2019","5999"
"September 2019","5753"
"October 2019","5857"
"November 2019","5811"
"December 2019","5753"
"January 2020","5892"
"February 2020","5787"
"March 2020","7140"
"April 2020","23078"
"May 2020","20985"
"June 2020","17750"
"July 2020","16338"
"August 2020","13550"
"September 2020",NA
"October 2020",NA
"November 2020",NA
"December 2020",NA
